,freeforms
Angst and Humor,4
Literary References & Allusions,4
no beta we die like Jem Hadar,4
The Borg,4
Intersex Kelas Parmak,4
Episode: s01e03 Past Prologue,4
Post-A Stitch in Time - Andrew Robinson,4
Protectiveness,4
Ableism,4
Memories,4
Garak's POV,4
Weyoun 6 lives,4
Nature,4
Touching,4
Fables - Freeform,4
Aesop's Fables - Freeform,4
Pillow Talk,4
Garak's Fables,4
Episode: s06e20 His Way,4
Bad Parenting,4
Short,4
Garak POV,4
Implied/Referenced Rape/Non-con,4
Dialogue,4
Non-Linear Narrative,4
Prison,4
Sharing Clothes,4
Garak Centric,4
Mental Instability,4
Interrogation,4
Bajoran Culture,4
Rescue,4
Insomnia,4
Implied Relationships,4
Psychological Trauma,4
Caretaking,4
Talking,4
Drabble Collection,4
Post-Book: Enigma Tales (Star Trek),4
Xenobiology,4
Loneliness,4
Odo POV,4
Old Married Couple,4
Post-War,4
Drug Use,4
Eventual Romance,4
Minor Injuries,4
Rebuilding,4
Singing,4
Alternate Universe - Fantasy,4
Male Slash,4
Threesome - F/M/M,4
Language Barrier,4
do not copy to another site,4
kind of,4
Mental Anguish,4
Episode: s07e23 Extreme Measures,4
Relationship Negotiation,4
Internalized Homophobia,4
Oneshot,4
No Beta,4
Eugenics Wars (Star Trek),4
Internal Monologue,4
GIMP (GNU Image Manipulation Program),4
Vignettes,4
Jealous Garak,4
Politics,4
Dramatic Elim Garak,4
Just Fuck Already,4
Especially the lies,4
DS9,4
Episode: s01e16 If Wishes Were Horses,4
Minor Julian Bashir/Elim Garak,4
Paranoia,4
Unresolved Romantic Tension,4
Holidays,4
Alien Gender/Sexuality,4
Unhealthy Coping Mechanisms,4
Trust Issues,4
Christmas Party,4
Therapy,4
Cuddling and Snuggling,3
Tattoos,3
Autism Spectrum,3
Interspecies Awkwardness,3
Risa - Freeform,3
Trans Elim Garak,3
Relationship Advice,3
Post-Episode: s03e21 The Die Is Cast,3
Past Character Death,3
Dissociation,3
Foreplay,3
Emotionally Repressed,3
Husbands,3
aesop,3
Double Entendre,3
Stalking,3
Illustrated (soon),3
Deception,3
One Shot Collection,3
Vacation,3
Pencil,3
Season/Series 06,3
Podfic Length: 10-20 Minutes,3
Love Triangles,3
mental health,3
Alternate Universe - Different First Meeting,3
Gender Dysphoria,3
Ink,3
Starfleet Academy,3
Dragons,3
Complicated Relationships,3
Telepathic Bond,3
Implied/Referenced Drug Use,3
Medical Mystery,3
Computer Colors,3
Deathfic,3
Prose Poem,3
Technobabble,3
Mind Games,3
Stream of Consciousness,3
Tumblr Prompt,3
Possibly Unrequited Love,3
Literature,3
Male Friendship,3
Intrigue,3
Minor Violence,3
Apologies,3
Asexual Julian Bashir,3
Terok Nor (Star Trek),3
Hypothermia,3
Enemies to Friends to Lovers,3
Guilt,3
Episode: s06e07 You Are Cordially Invited,3
Deep Space Nine - Freeform,3
Digital Art,3
Alternate Universe - Pizza Place,3
Human AU,3
Backstory,3
Episode: s03e05 Second Skin,3
Emotional Baggage,3
Bathing/Washing,3
Gardens & Gardening,3
Insecurity,3
Monologue,3
old married garashir,3
starfleet spouse,3
Parenthood,3
Marriage,3
Kanar,3
Family Fluff,3
Episode: s03e07 Civil Defense,3
Embarrassment,3
Romantic Tension,3
Implied/Referenced Suicide,3
Episode: s02e13 Armageddon Game,3
Fandom Kombat 2021,3
Christmas Presents,3
Crack Relationships,3
Post-Break Up,3
Episode: s04e26 Broken Link,3
Ambassador Garak,3
Voice Kink,3
monstrousmay,3
neurodivergent julian,3
Emotional/Psychological Abuse,3
Canonical Character Death,3
Morning Cuddles,3
Language,3
Resolved Sexual Tension,3
Star Trek: Just in Time Fest,3
no beta we die like men,3
Oblivious Julian,3
Languages and Linguistics,3
Pre-Episode: s02e22 The Wire,3
Jadzia Dax Lives,3
Background Relationships,3
Self-Indulgent,3
Post Series,3
Infatuation,3
Canon Divergence,3
Quark's Bar (Star Trek),3
Teen Romance,3
Kinda,3
Nonbinary Character,3
Gift Giving,3
Non-Consensual Kissing,3
Mild Blood,3
Food,3
Mating Rituals,3
Sharing Body Heat,3
Undercover Missions,3
Fairy Tale Elements,3
Psychological Drama,3
Season/Series 01,3
Don’t copy to another site,3
Funny,3
Mild Gore,3
Meeting the Parents,3
thirst,3
Major Illness,3
Flowers,3
Ugly Holiday Sweaters,3
Post-Enigma Tales,3
breaking up,3
Homophobia,3
Genocide,3
Mild Angst,3
Mistletoe,3
Self-Reflection,3
Fade to Black,3
Male-Female Friendship,3
Marriage of Convenience,3
Episode: s03e18 Distant Voices,3
Moving In Together,3
Lunch,3
Whumptober 2018,3
Murder,3
Implied/Referenced Drug Addiction,3
Heavy Petting,3
Cardassians with tails,3
Birds,3
Slavery,3
Slow Dancing,3
Courtship,3
Queer Character,3
Friends to... Something else,3
Feels,3
Trope Inversion,3
Episode: s03e22 Explorers,3
Abduction,3
Yearning,3
Tenderness,3
Kidfic,3
just the two of them flirting in their own unique way,3
References to Addiction,3
Medical Experimentation,3
Post-Episode: s07e25 What You Leave Behind,3
Lonely Elim Garak,3
Alternate Universe - Fusion,3
Original Character(s),3
Sensuality,3
Blood,3
Episode: s03e25 Facets,3
Spy Holoprogram,2
Space Battles,2
Thirsty Elim Garak,2
Background Poly,2
Comedy of Errors,2
Secret Crush,2
Warm,2
Drunken Flirting,2
Counseling,2
Not Canon Compliant,2
Physical Abuse,2
Trans Character,2
Family Drama,2
Garashir Lunch Dates,2
Assassination Attempt(s),2
For an exchange,2
Fuck Form,2
Requited Love,2
Identity,2
Season/Series 03,2
Slow Build,2
My First Fanfic,2
Married garashir,2
Tickling,2
Lesbian Character,2
Dorks in Love,2
Belligerent Sexual Tension,2
Illnesses,2
Adopted Children,2
Works in this series are standalones united by the medium of shower notepad,2
Betting Pool,2
Love Languages,2
Babel Trek Open Project (Star Trek),2
Developing Friendships,2
Unhappy Ending,2
Over the Years,2
Restraints,2
Missed Opportunities,2
Romulans,2
Brainwashing,2
Adoption,2
Subtext,2
Bajor,2
Pet fic,2
idiots to lovers,2
Song Lyrics,2
OT3,2
Tora Ziyal Lives,2
Nudity,2
The Dark One (Once Upon a Time),2
Role Reversal,2
Cats,2
Arranged Marriage,2
(sort of),2
Polyamory Negotiations,2
Sometimes they don't know what they want,2
Body Horror,2
Dubious Ethics,2
DS9 is the worst place to live,2
shameless flirting,2
Temporary Character Death,2
Episode: s05e12 The Begotten,2
Time Shenanigans,2
Alternate Universe - Exile Julian,2
Secret Santa,2
Adventure,2
Developing Quodo,2
Other Additional Tags to Be Added,2
Mostly Fluff,2
Plotty,2
Betaed,2
New Year's Eve,2
season 6,2
Episode: s06e01 A Time to Stand,2
Episode: s06e19 In The Pale Moonlight,2
Breaking Up & Making Up,2
Episode: s07e03 Afterimage,2
secondary character death,2
Body Image,2
POV Jadzia Dax,2
Romantic Comedy,2
Fake Marriage,2
Tribbles (Star Trek),2
USS Defiant NX-74205 (Star Trek),2
Rom is a lobeless idiot,2
alternative universe,2
Cannibalism,2
Episode: s3e06 The Abandoned,2
Occupation of Bajor,2
Exile Julian AU,2
Dubcon Kissing,2
Affectionate Insults,2
LGBTQ Themes,2
Sensation Play,2
unrequited feelings,2
its gay,2
Anger,2
Mind Melding,2
Cheating,2
Divorce,2
Emotional Hurt,2
Breakfast,2
Scent Marking,2
Universal Translator Malfunction,2
Episode: s04e24 The Quickening,2
augment angst,2
Snark,2
Serious Injuries,2
envy - Freeform,2
Adultery,2
Plot,2
Episode: s04e25 Body Parts,2
POV Kelas Parmak,2
Musical References,2
Sassy,2
Intoxication,2
episode rewrite,2
Flash Fic,2
Some angst,2
jadzia and quark are bffs,2
Gay,2
Peaceful,2
Sexy,2
Asexual Character,2
Baking,2
Prompt Fill,2
Crushes,2
shutdown,2
Episode: s01e10 Move Along Home,2
Cardassian scales,2
Sensory Overload,2
julian is a mess,2
No beta we die like redshirts,2
Attraction,2
synthale,2
breakdown - Freeform,2
Meet-Cute,2
Head Injury,2
Engagement,2
Season 1,2
Past Violence,2
Past Abuse,2
Bigotry & Prejudice,2
Implied/Referenced Sexual Assault,2
Aftermath of Torture,2
Holosuites,2
They can be read independently and in any order,2
Drinking & Talking,2
Early in Canon,2
Triple Drabble,2
Discrimination,2
Bajorans,2
Sexuality Crisis,2
Julian's issues,2
Families of Choice,2
Post internment camp 371,2
Pranks and Practical Jokes,2
Gay Pride,2
Sleep,2
Asexuality,2
One Night Stands,2
Touch Telepathy,2
ferengi homophobia,2
Love at First Sight,2
quodo,2
Pursuit,2
Multiple Crossovers,2
Garak has a heat lamp,2
Ethical Dilemmas,2
talking about feelings,2
Platonic Kissing,2
References to Drugs,2
Platonic Male/Male Relationships,2
Orion Syndicate,2
Fluffy,2
Foot Fetish,2
Puppy Love,2
Disabled Kelas Parmak,2
Sex Pollen,2
pre slash,2
Mentions of Violence,2
Sad,2
Childbirth,2
Death,2
Surprise Kissing,2
Quark's Bar,2
Why Did I Write This?,2
Tags Are Hard,2
Bisexual Character,2
And they were soulmates,2
Childhood Memories,2
Mud,2
Platonic Life Partners,2
Platonic Soulmates,2
discussion of porn,2
incarceration,2
Rain,2
Post-Episode: s07e03 Afterimage,2
Inspired by Music,2
Jadzia Dax is a good bro,2
Drug Withdrawal,2
Medical Trauma,2
Spring,2
Dominion War,2
Dom/sub Undertones,2
Bad Puns,2
Cardassian,2
During Canon,2
Hallucinations,2
Cardassian Physiology,2
Neck Kissing,2
Spoilers,2
Romantic Gestures,2
Emotional Roller Coaster,2
Valentine's Day Fluff,2
Bisexuality,2
Blood and Gore,2
Courtroom Drama,2
Bisexual Male Character,2
I Blame Tumblr,2
Book: Enigma Tales (Star Trek),2
Surgery,2
Lovesickness,2
bad luck o'brien,2
Julian's Genetic Enhancement,2
Eating Disorders,2
Queer Themes,2
I Wrote This Instead of Sleeping,2
Episode: s03e16 Prophet Motive,2
Christmas Tree,2
Cooking,2
Relationship Discussions,2
Unresolved Emotional Tension,2
Blood Loss,2
Established Elim Garak/Kelas Parmak,2
In Love,2
References to Depression,2
References to Shakespeare,2
Sorry Not Sorry,2
"Julian ""Word Vomit"" Bashir",2
Relationship Reveal,2
Crying,2
What Have I Done,2
Anxiety Attacks,2
References to Torture,2
Time Skips,2
Reconciliation,2
The Crimson Shadow - Una McCormack,2
Communication Failure,2
Obsidian Order Habits Die Hard,2
A Stitch In Time,2
Medicine,2
happiness,2
Dramatic Irony,2
Attempted Seduction,2
Transformation,2
Double Drabble,2
Major Character Injury,2
Podfic Available,2
Gay Male Character,2
Species Redesign,2
(technically) - Freeform,2
Bad Communication,2
I Will Go Down With This Ship,2
Comfort Food,2
Feel-good,2
Naive Weyoun,2
POV Benjamin Sisko,2
Parody,2
Hair Braiding,2
Boundary Negotiation,2
Julian Bashir's genetically enhanced identity issues,2
Alternate Universe - Coffee Shops & Cafés,2
Transporter Malfunction,2
Father-Daughter Relationship,2
Mind Meld,2
Only One Bed,2
Spies,2
Species Differences,2
I Don't Even Know,2
Psychological Torture,2
Xeno,2
Podfic Length: 0-10 Minutes,2
Identity Issues,2
Character Development,2
Schmoop,2
Symbionts,2
Autism,2
Tension,2
accidental innuendos,2
No Plot/Plotless,2
Minor canon divergence,2
Altered Mental States,2
Lesbian Ezri Dax,2
Weyoun talks too much,2
Neurodivergent Julian Bashir,2
Conversation,2
Post-Episode: s03e15 Destiny,2
Families and In-laws,2
original parasitoid species,2
nobody actually fucks a lizard,2
Resentment,2
Genderfluid Character,2
First Love,2
Accidental Dating,2
Everyone Is Gay,2
Gambling,2
Audio Format: Streaming,2
Fun,2
Alternate Timelines,2
Drunken Kissing,2
'twas lunchies in the replimat,2
Eventual Happy Ending,2
Longing,2
Not Beta Canon compliant,2
Jewish Holidays,2
Mirror Universe (Star Trek),2
Honeypotting,2
Accidental Baby Acquisition,2
Prostitution,2
Sewing,2
Revelations,2
Child Injury,2
Augmented Julian Bashir,2
Christmas Decorations,2
science officer!Molly,2
some violence,2
Insecurities,2
Snuggling,2
Polyamorous Julian Bashir,2
Suits,2
Transgender Julian Bashir,2
Soliloquy,2
Accidental Marriage,2
Near Death Experiences,2
implied Garak/Bashir,2
Bad Things Happen Bingo,2
Present Tense,2
Shenanigans,2
Dating,2
Cuddles,2
Season 5 Spoilers,2
Challenge Response,2
Julian Bashir Secret Agent,2
Healing,2
Body Dysphoria,2
Marking,2
Possession,2
Alpha-Canon Compliant,2
Non-Graphic Violence,2
Trans!Julian,2
Family Feels,2
Truth Serum,2
Captivity,2
Deep pressure,2
Platonic Garashir,2
Sort of? - Freeform,2
Pre-Threesome,2
Suspense,2
Augments,2
Languages,2
Klingon,2
Relationship Problems,2
Vulcan Mind Melds,2
POV Multiple,2
Femslash,2
Interspecies Romance,2
Sleeping Together,2
Huddling For Warmth,2
Partial Mind Control,2
Tea,2
Post-Episode: s04e24 The Quickening,2
Hope,2
Bittersweet Ending,2
tender cardassian poetry,1
Autistic Meltdown,1
Comforting Elim Garak,1
Episode: s06e23 Profit and Lace,1
The Morning After The Night Before,1
Alexithymia,1
communication is key,1
Internalised Homophobia,1
Julian's body is distracting,1
its more to do with symbolism,1
canon-typical alcohol and language,1
Can be read as friendship,1
Heavy Conversations Over Tongo,1
See notes for more information,1
nothing is wrong at all,1
Manicures & Pedicures,1
Julian Bashir can't sit still,1
julian has very high standards of himself,1
See notes for more warnings,1
Height Differences,1
garak worries that something is very wrong,1
Garak Character Study,1
julian bashir is my awkward son and i will defend him,1
So many ships,1
Kira and Odo are disasters who deserve each other,1
Difficult Decisions,1
Many episode references,1
NB Odo,1
toddlers destroying property,1
Bit heavy on the dialogue,1
so much yearning,1
Switch Julian Bashir,1
first holiday,1
Parental Love,1
Episode: s01e07 Eye of the Needle,1
lots of angsty julian introspection,1
look julian's just got a lot to figure out ok,1
because quark,1
dominion war? never met her,1
fluff and plot,1
and Garak being dramatic for fun,1
Too much information,1
gratuitous use of real historic events for spy plots,1
but it's all offscreen,1
conversations about sex,1
Julian POV (mostly),1
horrifying shapeshifting attempts,1
lighthearted conversations that turn serious,1
Past Julian Bashir/Palis Delon,1
Erotica,1
POV Original Character,1
mentions of Julian/Leeta,1
Julian Bashir's Exes,1
Holosuite Spy Adventures,1
slightly gross details,1
Hologram Garak,1
Discussion of Julian's genetic enhancements,1
jadzia and julian can commit a little treason. as a treat,1
just silly domestic fluff,1
I wanted to write soft caring doctor Julian but it turned into ANGST :-(,1
I would Die for julian bashir,1
takes place early in season 5,1
Communication,1
shocked at myself for not writing smut immediately,1
small spaces,1
Adult Fear,1
like rip to [redacted] but u were so musty,1
Is it espionage or is it a date,1
julian just wants to talk about it a little okay?,1
Attempted Kidnapping,1
quiet moments,1
hell yeah,1
Shared spaces,1
Spies Lies and Bedroom Eyes,1
doctor julian bashir's phd in pining,1
Post-Episode: s05e09 The Ascent,1
discussions of character death,1
anyway i am delighted that the next tag is apparently a thing,1
damar gets a booboo,1
Babies That Simply Do Not Sleep,1
well part of it anyway,1
the Risa outfit makes a cameo,1
Traditional Garashir,1
Post-Episode: s03e13 Life Support,1
because of course,1
unmitigated fluff,1
Julian is still soft but there is angst,1
Inappropriate Humor,1
Windows Photo Editor,1
Online Romance,1
Hurt Julian Bashir,1
Damar is a depressed fuck,1
Now with a chapter 2!,1
Miiiiight write an epilogue/second chapter for this,1
Heavy Themes,1
Acute Mental Crisis,1
descriptions of cutting,1
Alternate Universe - Magical Realism,1
Absolutely grotesque displays of affection,1
Miles learns a lesson,1
Some Humor,1
Dukat’s there but only mentioned,1
Emotional breakdown with little plot,1
Tooth decay levels of fluff at the end,1
General DS9 spoilers,1
Two Travellers and a Bear,1
The worst stage directions you've ever read,1
Mentions of major and minor character death,1
caring Garak,1
The power of a good hug,1
dark themes,1
no proofreading we die like non-binary individuals,1
nothing actually happens,1
but a little bit of Garak's too,1
all of Garak's memories should come with warnings,1
Fairy Tales,1
all Section 31 dealings are only talked about is what I mean,1
Political Intrigue (discussed),1
Murder (Discussed),1
Mostly Julian's trauma,1
literary discussions,1
(towards the end),1
Cutting,1
"Basically I took one good look at beta canon and went ""no""",1
Detailed Thoughts Regarding Cutting,1
who knows - Freeform,1
which is a lot more wholesome lol,1
Frustrating ending,1
Gay Julian Bashir,1
Julian Bashir needs a hug,1
References to Porn,1
rituals so intricate they border on rube goldberg,1
how can two intelligent people be so very stupid?,1
Julian Bashir's Alien Fetish,1
touch-starved Garak,1
Mild Slut-Shaming,1
More high brow humour,1
mind games gone awry,1
Sorry Garak I love you but damn,1
WTF,1
Season 2,1
The Ass and the Load of Salt,1
Sharing a Room,1
References to Suicide,1
so much thirst,1
Thirsty Julian Bashir,1
ass jokes,1
Garak's freaky eyes,1
hopefully balanced!,1
Episode AU: s01 e01 Emissary,1
Discussions of Nudity,1
Spoilers about Dax's past,1
letter format,1
Alternate Universe - Bee Movie,1
lifelong friendship,1
Storytelling,1
Medical Conferences,1
Vorta Culture,1
tng spoilers,1
tos movie spoilers,1
Gaslighting,1
T4T Garashir,1
but only in reference :),1
Accidental Voyeurism,1
Bad Stage Directions,1
Discussion of the Cardassian State,1
dubiously unrequited love,1
inspired by but not entirely compliant with the novels,1
you’ve been warned,1
losing a bet,1
And He Knows It,1
and sometimes that’s a good thing,1
Body Positive,1
and they were ROOMMATES,1
once again I am giving Keevan trauma,1
cardassian cultural norms,1
streaking across the station,1
Sex Hut,1
Confession,1
elim garak hasn't dealt with his trauma,1
Julian scans things when he's nervous,1
Garak has thoughts about Julian's bedding,1
julian bashir cares about evil aliens too much,1
Blankets,1
pranks gone wrong,1
Watch me make up stuff about Trills,1
Vorta society is fucked up yall,1
Annoying Husbands,1
Bathroom Humor,1
Garak is bad at showing affection,1
Self-Injurious Stims,1
Anthropomorphic,1
but not beta canon compliant,1
Temple Grandin,1
author is autistic,1
First Contact Day (Star Trek),1
but brief,1
Post ASIT,1
Making fun of your spouses,1
Just lots and lots of pining,1
Star Trek Rom Com 2021,1
Kelas is sexy,1
Kelas is bad at gardening,1
Julian is a bad cook,1
Vulcan Language,1
Sleepovers,1
You've Got Mail Fusion,1
Unsent Letters Treat,1
The importance of Names,1
Tired Julian Bashir,1
Tired Writer,1
Keiko understands everything,1
barely proof-read,1
Inspired by Real Events,1
exhausted chaotic energy,1
half-asleep writer,1
Hats,1
Hair Dyeing,1
Haberdashery,1
Garak is a fabric snob,1
hot nights,1
Bashir's Bad Fashion Sense,1
surprisingly little crack,1
Garak writes a letter,1
Self-Worth Issues,1
Summer,1
Identity Porn,1
What's the opposite of huddling for warmth?,1
Attention-Seeking Elim Garak,1
Cardassian Summer,1
Hot Julian Bashir,1
I just want my space boyfriends to be happy ok,1
Mentions of sexual relations,1
Chatting & Messaging,1
julian being a dork,1
garak loving him anyways,1
Bubble Bath,1
right in the,1
No pun intended,1
OK you got me pun totally intended he’s gorgeous,1
mentioned - Freeform,1
Sentimental,1
Just two old men being in love,1
Very sorry about the ending,1
tfw you are a stickler for workplace safety,1
Everyone has advice,1
Sneaking Around,1
Letters,1
soft,1
Cardassians are lizards and you can’t stop me,1
Missed Connections,1
Reconnaissance,1
humans as aliens,1
Hrrmgff Will Be Our Always,1
Odo's Got Some Issues,1
Quark Is Emotionally Stupid,1
Discussion of Genocide,1
Cover Art,1
Coloring Pages,1
Tentacles,1
probably occurs sometime within the first year of odo leaving,1
Alien Sex,1
Bisexual Garak,1
Crossovers & Fandom Fusions,1
Dimension Travel,1
Diverged that canon so hard,1
Don't Judge Me,1
First Contact,1
Gunshot Wounds,1
I don't even know anymore,1
I need some serious escapism,1
Nerds Only,1
No Universal Translator,1
Drafts,1
implied depression,1
Tags May Change,1
Kira voice my wife,1
coffee’s not coffee! Coffee is sex!,1
the promenade,1
wink - Freeform,1
No Communication,1
oblique references to Garak's depressing backstory,1
Zoom Play Format,1
Wholesome,1
shifting pov between odo and quark,1
Marriage for Federation citizenship,1
"Pre-""The Wire""",1
Yes I know that's probably not how it works shut up,1
Episode: s07e24 The Dogs of War,1
Mentioned Past Alcohol Abuse,1
Self-Destructive Behavior,1
all of the relationships are just mentioned,1
but whats new,1
garak is gay pining,1
jadzia isn't dead because fuck you,1
julian and garak arent actually in a relationship,1
much to garak's chagrin,1
Awkward situations,1
Dirty Talk,1
(rewrite),1
Ghosts,1
Growing Up,1
haunted station,1
Suffering,1
There's a lot of blood in chapter six,1
This idea was originally cracky,1
We jumped the track to canon-town,1
Alternate Reality,1
Agender Weyoun,1
Trans Garak,1
a burn so slow jane austen has blue balls,1
centered around Weyoun and Damar,1
Richard and Amsha Bashir's A+ parenting,1
Transitioning,1
Transphobia,1
loosely set in late season 4,1
Julian is raggedy,1
'Twas lunchies in the Replimat by mention only,1
Julian what have you done,1
Yeah I wrote Leeta into a Craigslist missed connection and I'm NOT sorry!,1
Scooby Doo Style Mysteries & Hijinks,1
Cardassian courting,1
Not beta-canon compliant,1
