,freeforms
ok like everyone is in it,1
neurodivergent julian,1
crossover fic,1
cannon typical everything,1
I mean EVERYONE - Freeform,1
Christmas Dinner,1
Veronica Lake,1
Romance,1
Party,1
Kira-has-long-hair AU,1
I Married A Witch,1
Loneliness,1
h/nc,1
Family Feels,1
girls supporting girls,1
references to jadzia dax/worf,1
references to jadzia dax/lenara khan,1
references to ezri dax/worf,1
references to ezri dax/julian bashir,1
but the romance is not really my main focus here,1
Episode: s07e20 The Changing Face of Evil,1
the planet is a canon planet though,1
made up alien mythology,1
girls day out,1
Babysitting,1
bisexual jadzia Dax,1
bisexual Kira Nerys,1
awkward Kira Nerys,1
Support,1
Quark is mentioned but he doesn't actually say anything,1
Lunch,1
Keiko is A Good Friend,1
Female Friendship,1
Tea,1
Birthday Fluff,1
Klingons,1
Only One Bed,1
Sick Character,1
Recovery,1
Comms,1
Trills,1
Trill Culture (Star Trek),1
Shuttlecraft,1
Funny,1
Platonic Cuddling,1
Accidental Cuddling,1
Shapeshifting,1
Neighbors,1
Bonding,1
Song Lyrics,1
Oblivious Julian Bashir,1
Minor Julian Bashir/Elim Garak,1
Crack,1
Fanvids,1
Unicorns,1
Dax is a good friend,1
Dating,1
Brunch,1
Sneak Peeks,1
Maybe I went to far in my thoughts,1
star trek creepycore,1
Spooky,1
Light Horror,1
Implied/Referenced Character Death,1
Creepy,1
Writing,1
Why Did I Write This?,1
Musical Instruments,1
Awkwardness,1
Music,1
Analysis,1
First time writing DS9 characters,1
Cardassions,1
Angry Janeway,1
daemon centric story,1
Non Consensual Daemon Touching,1
Alternate Universe - Daemons,1
Post-Episode: s06e19 In The Pale Moonlight,1
What could have happened,1
What-If,1
but I love DS9,1
Anxiety,1
ASCEM,1
you sell it,1
buisness,1
When you have a product,1
Just a thought I had,1
Ferengi,1
Pre-Slash,1
POV First Person,1
Fluff and Humor,1
Best Friends,1
set about a year or so post-series,1
Maybe a little bit romantic here,1
Epistolary,1
Cardassian Culture,1
babel trek project,1
Universal Translator,1
Villain monologing,1
